               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.026109,            0.025755,                   0,             0.91668,             0.85135,             0.90114,             0.50939,            0.034623,            0.009869,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.024552,            0.026017,                   0,             0.90234,             0.87404,             0.90537,             0.49985,            0.034309,           0.0088159,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.025231,             0.02497,                   0,             0.88597,             0.89865,             0.91654,             0.51111,            0.034438,           0.0092256,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.024751,            0.025512,                   0,             0.89921,             0.85811,             0.89781,              0.4928,            0.038506,             0.00967,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.025381,            0.024925,                   0,             0.89625,             0.83784,             0.89367,             0.51378,            0.035336,           0.0088884,                   0,            0.007129,            0.007129,            0.007129
                  89,             0.02346,            0.024759,                   0,             0.91029,             0.86486,             0.91016,             0.49989,            0.036388,           0.0097586,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.024433,            0.024937,                   0,             0.92257,             0.87838,              0.9152,             0.52324,            0.036931,           0.0091119,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.024067,            0.024497,                   0,             0.91439,             0.88514,             0.91919,             0.52521,            0.036128,           0.0096322,                   0,             0.00703,             0.00703,             0.00703
                  92,             0.02411,            0.023841,                   0,             0.88856,               0.862,             0.90238,              0.5067,            0.035999,           0.0094358,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.023721,            0.024473,                   0,             0.90239,             0.87452,             0.89623,             0.49916,            0.036548,           0.0094875,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.024362,            0.024251,                   0,             0.89419,             0.85653,             0.90781,             0.49763,            0.037058,           0.0096684,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.023671,             0.02373,                   0,             0.89632,             0.87624,             0.90528,             0.49235,            0.036257,           0.0092555,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.023832,            0.024597,                   0,             0.91589,             0.87838,             0.90361,             0.51495,            0.036772,           0.0093553,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.023447,            0.023783,                   0,             0.89811,             0.83108,             0.88536,             0.47911,            0.038505,            0.010378,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.023832,            0.023942,                   0,             0.88527,             0.89189,              0.9018,             0.51201,             0.03583,           0.0097291,                   0,            0.006799,            0.006799,            0.006799
